"TABLE 2. Average Tuition and Fees and Room and Board (Enrollment-Weighted) in Current Dollars and in 2018 Dollars, 1971-72 to 2018-19",,,,,,,,,,,,,,,
,Tuition and Fees in 2018 Dollars,,,,,,Tuition and Fees and Room and Board in 2018 Dollars,,,,,,,,
91-92,"$18,150",0.6%,"$3,900",5.7%,"$2,160",22.7%,"$26,260",0.8%,"$10,080",2.9%,,,,,
92-93,"$18,740",3.3%,"$4,180",7.2%,"$2,010",-6.9%,"$26,960",2.7%,"$10,460",3.8%,,,,,
93-94,"$19,210",2.5%,"$4,430",6.0%,"$2,180",8.5%,"$27,570",2.3%,"$10,840",3.6%,,,,,
94-95,"$19,900",3.6%,"$4,600",3.8%,"$2,220",1.8%,"$28,020",1.6%,"$11,240",3.7%,,,,,
95-96,"$20,190",1.5%,"$4,640",0.9%,"$2,200",-0.9%,"$28,720",2.5%,"$11,140",-0.9%,,,,,
96-97,"$20,850",3.3%,"$4,780",3.0%,"$2,360",7.3%,"$29,470",2.6%,"$11,460",2.9%,,,,,
97-98,"$21,650",3.8%,"$4,880",2.1%,"$2,470",4.7%,"$30,400",3.2%,"$11,730",2.4%,,,,,
98-99,"$22,710",4.9%,"$5,020",2.9%,"$2,390",-3.2%,"$31,590",3.9%,"$12,000",2.3%,,,,,
99-00,"$23,460",3.3%,"$5,080",1.2%,"$2,490",4.2%,"$32,470",2.8%,"$12,210",1.8%,,,,,
00-01,"$23,440",-0.1%,"$5,120",0.8%,"$2,390",-4.0%,"$32,430",-0.1%,"$12,310",0.8%,,,,,
01-02,"$24,680",5.3%,"$5,350",4.5%,"$2,290",-4.2%,"$33,880",4.5%,"$12,820",4.1%,,,,,
02-03,"$25,270",2.4%,"$5,740",7.3%,"$2,340",2.2%,"$34,800",2.7%,"$13,530",5.5%,,,,,
03-04,"$25,970",2.8%,"$6,370",11.0%,"$2,620",12.0%,"$35,710",2.6%,"$14,430",6.7%,,,,,
04-05,"$26,680",2.7%,"$6,830",7.2%,"$2,770",5.7%,"$36,550",2.4%,"$15,140",4.9%,,,,,
05-06,"$27,060",1.4%,"$7,080",3.7%,"$2,810",1.4%,"$37,070",1.4%,"$15,630",3.2%,,,,,
06-07,"$27,630",2.1%,"$7,180",1.4%,"$2,810",0.0%,"$37,770",1.9%,"$15,900",1.7%,,,,,
07-08,"$28,330",2.5%,"$7,490",4.3%,"$2,770",-1.4%,"$38,700",2.5%,"$16,410",3.2%,,,,,
08-09,"$28,440",0.4%,"$7,560",0.9%,"$2,730",-1.4%,"$38,720",0.1%,"$16,460",0.3%,,,,,
09-10,"$30,120",5.9%,"$8,270",9.4%,"$3,010",10.3%,"$41,040",6.0%,"$17,830",8.3%,,,,,
10-11,"$30,940",2.7%,"$8,820",6.7%,"$3,170",5.3%,"$42,160",2.7%,"$18,700",4.9%,,,,,
11-12,"$31,100",0.5%,"$9,240",4.8%,"$3,310",4.4%,"$42,350",0.5%,"$19,140",2.4%,,,,,
12-13,"$31,890",2.5%,"$9,510",2.9%,"$3,460",4.5%,"$43,390",2.5%,"$19,600",2.4%,,,,,
13-14,"$32,500",1.9%,"$9,590",0.8%,"$3,500",1.2%,"$44,190",1.8%,"$19,830",1.2%,,,,,
14-15,"$33,090",1.8%,"$9,680",0.9%,"$3,530",0.9%,"$44,900",1.6%,"$20,020",1.0%,,,,,
15-16,"$34,150",3.2%,"$9,960",2.9%,"$3,590",1.7%,"$46,330",3.2%,"$20,660",3.2%,,,,,
16-17,"$35,080",2.7%,"$10,130",1.7%,"$3,620",0.8%,"$47,490",2.5%,"$21,100",2.1%,,,,,
17-18,"$35,720",1.8%,"$10,270",1.4%,"$3,670",1.4%,"$48,380",1.9%,"$21,400",1.4%,,,,,
18-19,"$35,830",0.3%,"$10,230",-0.4%,"$3,660",-0.3%,"$48,510",0.3%,"$21,370",-0.1%,,,,,
NOTE: Average tuition and fee prices reflect in-district charges for public two-year institutions and in-state charges for public four-year institutions.,,,,,,,,,,,,,,,
"SOURCES: College Board, Annual Survey of Colleges; NCES, Digest of Education Statistics; NCES, IPEDS Fall Enrollment data.",,,,,,,,,,,,,,,
This table was prepared in October 2018.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
